"1395/01/01","جشن نوروز/جشن سال نو"
"1395/01/02","عیدنوروز"
"1395/01/03","عیدنوروز"
"1395/01/04","عیدنوروز"
"1395/01/12","روز جمهوری اسلامی ایران"
"1395/01/13","جشن سیزده به در"

"1395/02/02","ولادت امام علی علیه السلام و روز پدر"
"1395/02/16","مبعث رسول اکرم"

"1395/03/02","ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان"
"1395/03/14","رحلت حضرت امام خمینی"
"1395/03/15","قیام 15 خرداد"

"1395/04/07","شهادت حضرت علی علیه السلام"
"1395/04/16","عید سعید فطر"
"1395/04/17","تعطیل به مناسبت عید سعید فطر"

"1395/05/09","شهادت امام جعفر صادق علیه السلام"

"1395/06/22","عید سعید قربان"
"1395/06/30","عید سعید غدیر خم"

"1395/07/20","تاسوعای حسینی"
"1395/07/21","عاشورای حسینی"

"1395/08/30","اربعین حسینی"

"1395/09/08","رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام"
"1395/09/10","شهادت امام رضا علیه السلام"
"1395/09/27","میلاد رسول اکرم و امام جعفر صادق علیه السلام"

"1395/10/05","زادروز حضرت مسیح"

"1395/11/22","پیروزی انقلاب اسلامی"

"1395/12/12","شهادت حضرت فاطمه زهرا سلام الله علیها"
"1395/12/29","روز ملی شدن صنعت نفت ایران"


"1396/01/01","جشن نوروز/جشن سال نو"
"1396/01/02","عیدنوروز"
"1396/01/03","عیدنوروز"
"1396/01/04","عیدنوروز"
"1396/01/12","روز جمهوری اسلامی ایران"
"1396/01/13","جشن سیزده به در"
"1396/01/22","ولادت امام علی علیه السلام و روز پدر"


"1396/02/05","مبعث رسول اکرم"
"1396/02/22","ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان"

"1396/03/14","رحلت حضرت امام خمینی"
"1396/03/15","قیام 15 خرداد"
"1396/03/26","شهادت حضرت علی علیه السلام"

"1396/04/05","عید سعید فطر"
"1396/04/06","تعطیل به مناسبت عید سعید فطر"
"1396/04/29","شهادت امام جعفر صادق علیه السلام"

"1396/06/10","عید سعید قربان"
"1396/06/18","عید سعید غدیر خم"

"1396/07/08","تاسوعای حسینی"
"1396/07/09","عاشورای حسینی"

"1396/08/18","اربعین حسینی"
"1396/08/26","رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام"
"1396/08/28","شهادت امام رضا علیه السلام"

"1396/09/06","شهادت امام حسن‌عسکری و آغاز امامت حضرت ولی‌عصر(عج)"
"1396/09/15","میلاد رسول اکرم و امام جعفر صادق علیه السلام"

"1396/11/22","پیروزی انقلاب اسلامی"

"1396/12/01","شهادت حضرت فاطمه زهرا سلام الله علیها"
"1396/12/29","روز ملی شدن صنعت نفت ایران"


"1397/01/01","جشن نوروز/جشن سال نو"
"1397/01/02","عیدنوروز"
"1397/01/03","عیدنوروز"
"1397/01/04","عیدنوروز"
"1397/01/11","ولادت امام علی علیه السلام و روز پدر"
"1397/01/12","روز جمهوری اسلامی ایران"
"1397/01/13","جشن سیزده به در"
"1397/01/25","مبعث رسول اکرم"

